history_id,ticket_id,status_changed_to,changed_by_employee_id,changed_at
1,1,open,12,2024-02-01 09:00:00
2,1,pending,12,2024-02-01 09:30:00
3,1,resolved,12,2024-02-01 10:30:00
4,2,open,13,2024-02-01 10:15:00
5,3,open,14,2024-02-01 11:30:00
6,3,pending,14,2024-02-01 12:30:00
7,3,closed,14,2024-02-01 13:45:00
8,4,open,12,2024-02-01 12:45:00
9,4,pending,12,2024-02-01 14:30:00
10,5,open,13,2024-02-01 14:00:00
11,5,resolved,13,2024-02-01 15:15:00
12,6,open,14,2024-02-01 15:15:00
13,7,open,12,2024-02-01 16:30:00
14,7,closed,12,2024-02-01 17:45:00
15,8,open,13,2024-02-01 17:45:00
16,8,pending,13,2024-02-02 09:30:00
17,9,open,14,2024-02-02 09:00:00
18,10,open,12,2024-02-02 10:15:00
19,10,resolved,12,2024-02-02 11:30:00
20,11,open,13,2024-02-02 11:30:00
21,11,closed,13,2024-02-02 12:45:00
22,12,open,14,2024-02-02 12:45:00
23,13,open,12,2024-02-02 14:00:00
24,13,pending,12,2024-02-02 15:00:00
25,14,open,13,2024-02-02 15:15:00 
