facility_id,name,facility_type,specialization,latitude,longitude,address,emergency_service,phone,website
1,Všeobecná fakultní nemocnice,hospital,general,50.075531,14.427853,"Karlovo náměstí 121/32, Prague 2",true,+420224961111,www.vfn.cz
2,Nemocnice Na Homolce,hospital,neurology,50.079608,14.431417,"Roentgenova 2/37, Prague 5",true,+420257271111,www.homolka.cz
3,Fakultní nemocnice Motol,hospital,pediatric,50.071389,14.404167,"V Úvalu 84/1, Prague 5",true,+420224431111,www.fnmotol.cz
4,Lékárna Dr.Max,pharmacy,,50.083466,14.423648,"Václavské náměstí 8, Prague 1",false,+420800111111,www.drmax.cz
5,Poliklinika Anděl,clinic,multi-specialty,50.071389,14.404167,"Nádražní 762/32, Prague 5",false,+420234678915,www.poliklinika-andel.cz
6,EUC Klinika,clinic,general,50.088992,14.428694,"Opletalova 1013/59, Prague 1",false,+420234678916,www.euc.cz
7,IKEM,hospital,cardiology,50.088439,14.404947,"Vídeňská 1958/9, Prague 4",true,+420234678917,www.ikem.cz
8,Městská poliklinika Praha,clinic,multi-specialty,50.089531,14.439075,"Spálená 78/12, Prague 1",false,+420234678918,www.prahamp.cz
9,Nemocnice Na Františku,hospital,general,50.087123,14.423456,"Na Františku 847/8, Prague 1",true,+420234678919,www.nnfp.cz
10,Lékárna Palackého,pharmacy,,50.075531,14.427853,"Palackého 5, Prague 2",false,+420234678920,www.lekarnapalackeho.cz 
