subscription_id,customer_id,subscription_plan,start_date,end_date,status
1,1,premium,2024-01-01 00:00:00,2024-12-31 23:59:59,active
2,2,basic,2024-01-15 00:00:00,2024-07-14 23:59:59,active
3,4,premium,2024-01-20 00:00:00,2024-12-19 23:59:59,active
4,6,basic,2024-02-01 00:00:00,2024-07-31 23:59:59,active
5,8,premium,2024-02-15 00:00:00,2024-02-28 23:59:59,expired
6,10,basic,2024-03-01 00:00:00,,canceled
7,12,premium,2024-03-15 00:00:00,2024-12-14 23:59:59,active
8,14,basic,2024-04-01 00:00:00,2024-09-30 23:59:59,active
9,15,premium,2024-04-15 00:00:00,2024-12-14 23:59:59,active
10,17,basic,2024-05-01 00:00:00,2024-10-31 23:59:59,active
11,19,premium,2024-05-15 00:00:00,,canceled
12,21,basic,2024-06-01 00:00:00,2024-11-30 23:59:59,active
13,23,premium,2024-06-15 00:00:00,2024-12-14 23:59:59,active
14,25,basic,2024-07-01 00:00:00,2024-12-31 23:59:59,active
15,3,premium,2024-07-15 00:00:00,2024-12-14 23:59:59,active
16,5,basic,2024-08-01 00:00:00,,canceled
17,7,premium,2024-08-15 00:00:00,2024-12-14 23:59:59,active
18,9,basic,2024-09-01 00:00:00,2025-02-28 23:59:59,active
19,11,premium,2024-09-15 00:00:00,2024-12-14 23:59:59,active
20,13,basic,2024-10-01 00:00:00,2025-03-31 23:59:59,active
21,16,premium,2024-10-15 00:00:00,,canceled
22,18,basic,2024-11-01 00:00:00,2025-04-30 23:59:59,active
23,20,premium,2024-11-15 00:00:00,2024-12-14 23:59:59,active
24,22,basic,2024-12-01 00:00:00,2025-05-31 23:59:59,active
25,24,premium,2024-12-15 00:00:00,2025-12-14 23:59:59,active 
